GEOID,nonwhite,poor_english,no_bachelors,rent,cost_burdened,severe_cost_burdened,poverty_200, jobs_auto_30 , ln_jobs_auto_30 , jobs_transit_45 ,ln_jobs_transit_45,transit_qt_mile,transit_2025_half,dist_super,dist_pharm,dist_rest,dist_park,dist_school,prox_high_inc,at_risk_du,voting
53033011002,0.91,0.43,0.8,0.44,0.39,0.25,0.54,"757,468",1.4,"345,627",1.3,0,0.04,0.63,0.65,0.57,0.17,0.61,0,0.11,0.4
53033011001,0.87,0.32,0.76,0.65,0.49,0.25,0.66,"749,705",1.4,"358,254",1.3,0.46,0.91,0.27,0.29,0.18,0.07,0.41,0,0.08,0.42
53033011700,0.87,0.27,0.74,0.27,0.36,0.21,0.36,"661,265",1.3,"281,938",1.3,0.14,0.54,0.62,0.68,0.47,0.07,0.35,0,0.03,0.49
53033009100,0.83,0.49,0.72,0.93,0.37,0.11,0.65,"875,286",1.4,"675,841",1.3,1,1,0.08,0.07,0.03,0.02,0.5,0,0.05,0.34
53033011101,0.82,0.32,0.72,0.55,0.39,0.22,0.36,"719,919",1.3,"347,306",1.3,0.44,0.95,0.29,0.3,0.21,0.2,0.3,1,0.02,0.41
53033011800,0.82,0.32,0.74,0.52,0.46,0.26,0.57,"651,816",1.3,"231,901",1.2,0.04,0.15,0.33,0.38,0.26,0.11,0.29,0,0.04,0.47
53033028100,0.82,0.38,0.87,0.65,0.35,0.2,0.47,"563,888",1.3,"172,668",1.2,0.29,0.52,0.46,0.28,0.25,0.43,1.01,0,0.23,0.31
53033010401,0.81,0.4,0.68,0.21,0.31,0.19,0.4,"784,007",1.4,"359,938",1.3,0.16,0.35,0.73,0.43,0.39,0.05,0.25,0,0.07,0.49
53053071704,0.81,0.32,0.91,0.91,0.43,0.21,0.63,"256,258",1.2,"31,439",1,0,0,0.53,0.87,0.64,0.85,1.01,0,0.05,0.24
53033026300,0.79,0.15,0.87,0.35,0.34,0.2,0.29,"639,880",1.3,"35,034",1,0,0,0.7,1.15,0.87,0.09,0.8,0,0.05,0.53
53033026100,0.78,0.25,0.85,0.56,0.35,0.17,0.42,"459,615",1.3,"113,936",1.2,0,0,0.91,1.25,0.58,0.16,0.6,0,0.1,0.46
53033011900,0.78,0.16,0.67,0.33,0.28,0.17,0.36,"543,516",1.3,"59,633",1.1,0,0,1.14,1.36,0.64,0.21,0.54,0,0.01,0.6
