JURIS17,CNTY,(No column name)
ALGONA,33,10
ARLINGTON,61,267
BELLEVUE,33,1309
BLACK DIAMOND,33,12
BOTHELL,61,109
BOTHELL2,61,108
BREMERTON,35,144
BRIER,61,20
BUCKLEY,53,50
BURIEN,33,128
CARBONADO,53,4
CARNATION,33,26
CLYDEHILL,33,24
COVINGTON,33,84
DARRINGTON,61,2
DES MOINES,33,438
DUPONT,53,1
EATONVILLE,53,14
EDGEWOOD,53,168
EDMONDS,61,189
ENUMCLAW,33,32
EVERETT,61,317
FEDERAL WAY,33,134
FIFE,53,7
FIRCREST,53,3
GIG HARBOR,53,233
GOLD BAR,61,15
GRANITE FALLS,61,74
ISSAQUAH,33,841
KENMORE,33,90
KENT,33,300
KIRKLAND,33,388
LAKE STEVENS,61,169
LAKEFORESTPARK,33,25
LYNNWOOD,61,52
MAPLE VALLEY,33,455
MARYSVILLE,61,313
MERCERISLAND,33,93
MILLCREEK,61,32
MONROE,61,108
MUKILTEO,61,2
NEWCASTLE,33,52
NORMANDY PARK,33,18
ORTING,53,75
PORT ORCHARD,35,1
PORT ORCHARD,53,77
POULSBO,35,195
PUYALLUP,53,353
SAMMAMISH,33,424
SEATAC,33,31
SEATTLE,33,10887
SHORELINE,33,224
SNOHOMISH,61,31
SNOQUALMIE,33,256
STANWOOD,61,65
STEILACOOM,53,11
SUMNER,53,26
TACOMA,53,1043
TUKWILA,33,17
UNINCORPORATED,33,631
UNINCORPORATED,53,2386
UNINCORPORATED,61,2301
UNINCORPORATED,35,651
UNIVERSITY PLACE,53,126
WILKESON,53,8
WOODINVILLE,33,290
WOODWAY,61,2
YARROW POINT,33,9
