,GRID_ID,count
0,ET-157,1
743,FV-199,1
745,FV-202,1
754,FW-131,1
756,FW-133,1
757,FW-134,1
760,FW-137,1
5647,HT-244,1
5646,HT-204,1
5636,HT-192,1
5574,HT-125,1
5554,HT-104,1
5552,HT-102,1
5539,HS-86,1
5538,HS-85,1
5537,HS-244,1
5502,HS-165,1
5467,HS-126,1
5442,HS-100,1
5440,HR-97,1
1483,GF-170,1
5754,HU-206,1
5755,HU-83,1
5761,HU-96,1
6082,HY-148,1
6081,HY-147,1
6072,HY-135,1
6045,HY-106,1
6038,HX-90,1
6024,HX-185,1
673,FU-191,1
5995,HX-148,1
680,FU-220,1
806,FW-183,1
5975,HX-121,1
5949,HW-200,1
5948,HW-199,1
5939,HW-190,1
5907,HW-152,1
5898,HW-143,1
5865,HW-100,1
5858,HV-82,1
5801,HV-139,1
5765,HV-101,1
5953,HW-90,1
5430,HR-87,1
5428,HR-85,1
5419,HR-200,1
5083,HO-209,1
5071,HO-193,1
5068,HO-190,1
4969,HN-207,1
4960,HN-196,1
4940,HN-175,1
902,FY-129,1
4854,HM-244,1
4853,HM-209,1
5084,HO-243,1
4850,HM-205,1
4838,HM-189,1
4775,HM-123,1
4754,HM-100,1
4738,HL-209,1
4736,HL-207,1
4719,HL-189,1
4717,HL-187,1
4695,HL-164,1
4647,HL-113,1
4845,HM-199,1
6096,HY-169,1
5087,HO-88,1
5105,HP-107,1
816,FW-198,1
5393,HR-169,1
5354,HR-128,1
5329,HR-100,1
5325,HQ-96,1
5319,HQ-89,1
824,FW-209,1
5317,HQ-85,1
5316,HQ-84,1
5104,HP-106,1
828,FX-132,1
5236,HQ-123,1
5203,HP-86,1
5202,HP-85,1
5201,HP-209,1
5192,HP-200,1
5190,HP-198,1
869,FX-175,1
5133,HP-136,1
5125,HP-128,1
5240,HQ-127,1
6108,HY-187,1
6111,HY-190,1
6124,HY-83,1
6547,IE-245,1
6546,IE-241,1
6545,IE-201,1
453,FR-141,1
6544,IE-186,1
6538,IE-166,1
6527,IE-155,1
6526,IE-154,1
6515,IE-143,1
6548,IE-246,1
6498,IE-120,1
6482,ID-188,1
6481,ID-187,1
486,FR-179,1
6476,ID-182,1
6469,ID-163,1
6463,ID-157,1
504,FS-138,1
6443,ID-137,1
6436,ID-124,1
6484,ID-201,1
6423,ID-106,1
6549,IE-83,1
6554,IF-113,1
386,FP-177,1
6630,IG-202,1
391,FP-199,1
